PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40660410,"A scoping review: the impact of nutritional status on the efficacy, effectiveness, and immunogenicity of COVID-19 vaccines.",2025,Vicka Oktaria; Bayu Satria Wiratama; Slamet Riyanto; Ratih Puspitaningtyas Purbaningrum; Citra Widya Kusuma; Lintang Dian Saraswati; Vitri Widyaningsih; Ratih Puspita Febrinasari; Ari Probandari; Riris Andono Ahmad,"Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia.; Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia. bayu.satria@ugm.ac.id.; Master of Public Health Program, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia.; Master of Public Health Program, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia.; Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia.; Department of Epidemiology, Faculty of Public Health, Universitas Diponegoro, Semarang, 50275, Indonesia.; Faculty of Medicine, Universitas Sebelas Maret, Surakarta, 57126, Indonesia.; Faculty of Medicine, Universitas Sebelas Maret, Surakarta, 57126, Indonesia.; Faculty of Medicine, Universitas Sebelas Maret, Surakarta, 57126, Indonesia.; Department of Biostatistics, Epidemiology, and Population Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia.",bayu.satria@ugm.ac.id.
40658525,US FDA Safety Labeling Change for mRNA COVID-19 Vaccines.,2025,Vinay Prasad; Martin A Makary,"US Food and Drug Administration, Silver Spring, Maryland.; US Food and Drug Administration, Silver Spring, Maryland.",
40658388,Metformin and Time to Sustained Recovery in Adults With COVID-19: The ACTIV-6 Randomized Clinical Trial.,2025,Matthew W McCarthy; Florence Thicklin; Jonathan B Cohen; Idania T Garcia Del Sol; Juan Ruiz-Unger; Nirav S Shah; Manisha Mehta; ,"Weill Cornell Medicine, New York, New York.; Stakeholder Advisory Committee, Pittsburgh, Pennsylvania.; Jadestone Clinical Research LLC, Silver Spring, Maryland.; L&A Morales Healthcare Inc, Miami, Florida.; Innovation Clinical Trials Inc, Miami, Florida.; Endeavor Health, Evanston, Illinois.; GCF of Southeastern Michigan, PC, Detroit.; ",
40658177,The Determinants of Influenza Vaccine Uptake in Pregnant Women During the COVID-19 Pandemic Using the Theory of Planned Behavior: A Cross-Sectional Study.,2025,,,eykimjcb777@cau.ac.kr.
40658089,Evaluation of the Effects of mRNA-COVID 19 Vaccines on Corneal Endothelium.,2025,,,
40657718,Pediatric Routine Immunization Delays in Chicago Before and After the Onset of the COVID-19 Pandemic: A Time-to-Event Analysis.,2025,Elizabeth Meininger; Spencer Gorelick; Stephanie Gretsch,"Disease Control Bureau, Chicago Department of Public Health, Chicago, IL, USA.; Disease Control Bureau, Chicago Department of Public Health, Chicago, IL, USA.; Disease Control Bureau, Chicago Department of Public Health, Chicago, IL, USA.",
40657478,Promoting public health with blunt instruments: Evidence from vaccine mandates.,2025,,,
40657298,COVID-19 Vaccine Uptake and Socioeconomic Disparities in Tanzania: A Population-Based Cross-Sectional Study Amid High Hesitancy.,2025,,,
40657195,A Modular Bacteriophage T4 Nanoparticle Platform Enables Rapid Design of Dual COVID-19-Flu Mucosal Vaccines.,2025,,,
40657165,Viral Etiologies of Acute Respiratory Illness in Older Adults and of Congestive Heart Failure and Chronic Obstructive Pulmonary Disease Exacerbations Requiring Hospitalization During 2 Prepandemic Respiratory Seasons.,2025,Robin Hubler; Elizabeth Begier; Qing Liu; Sonal Uppal; Warren V Kalina; Bradford Gessner; Luis Jodar,"Pfizer, Inc. New York, New York, USA.; Pfizer, Inc. New York, New York, USA.; Pfizer, Inc. New York, New York, USA.; Pfizer, Inc. New York, New York, USA.; Pfizer, Inc. New York, New York, USA.; Pfizer, Inc. New York, New York, USA.; Pfizer, Inc. New York, New York, USA.",
